Date,Open,High,Low,Close,Volume,Change,airline_nm
20190102,4382,4430,4305,4313,59471,-0.0159707963,티웨이항공
20190103,4282,4340,4241,4260,86500,-0.0122884303,티웨이항공
20190104,4259,4276,4101,4237,80248,-0.00539906103,티웨이항공
20190107,4241,4382,4235,4366,83932,0.0304460703,티웨이항공
20190108,4365,4405,4311,4395,55264,0.00664223546,티웨이항공
20190109,4446,4446,4376,4383,64399,-0.00273037543,티웨이항공
20190110,4388,4388,4311,4343,46131,-0.00912616929,티웨이항공
20190111,4388,4394,4340,4366,34758,0.00529587843,티웨이항공
20190114,4365,4411,4359,4383,42659,0.00389372423,티웨이항공
20190115,4340,4400,4340,4395,55547,0.00273785079,티웨이항공
20190116,4417,4417,4370,4389,77512,-0.00136518771,티웨이항공
20190117,4411,4452,4376,4383,101916,-0.001367054,티웨이항공
20190118,4411,4452,4359,4442,80831,0.0134610997,티웨이항공
20190121,4430,4523,4430,4442,94161,0,티웨이항공
20190122,4400,4440,4340,4353,94389,-0.0200360198,티웨이항공
20190123,4353,4370,4289,4330,84414,-0.00528371238,티웨이항공
20190124,4365,4370,4289,4324,84326,-0.00138568129,티웨이항공
20190125,4353,4353,4318,4348,102768,0.00555041628,티웨이항공
20190128,4347,4370,4335,4343,79305,-0.001149954,티웨이항공
20190129,4282,4347,4265,4295,103580,-0.011052268,티웨이항공
20190130,4300,4400,4300,4353,82898,0.0135040745,티웨이항공
20190131,4388,4400,4335,4378,109627,0.00574316563,티웨이항공
20190201,4382,4511,4340,4488,214175,0.0251256281,티웨이항공
20190207,4494,4505,4394,4418,150353,-0.015597148,티웨이항공
20190208,4417,4446,4330,4348,105648,-0.0158442734,티웨이항공
20190211,4347,4388,4218,4266,244495,-0.0188592456,티웨이항공
20190212,4253,4282,4230,4248,116233,-0.00421940928,티웨이항공
20190213,4253,4330,4253,4278,170091,0.00706214689,티웨이항공
20190214,4282,4324,4247,4284,144947,0.00140252454,티웨이항공
20190215,4305,4353,4265,4337,115202,0.0123716153,티웨이항공
20190218,4340,4446,4330,4330,161166,-0.00161401891,티웨이항공
20190219,4335,4370,4324,4360,67569,0.00692840647,티웨이항공
20190220,4340,4417,4335,4413,97390,0.0121559633,티웨이항공
20190221,4411,5214,4411,4858,3116821,0.100838432,티웨이항공
20190222,4792,4833,4675,4782,679378,-0.0156442981,티웨이항공
20190225,4798,4968,4798,4904,474502,0.0255123379,티웨이항공
20190226,4904,5173,4886,4940,1292234,0.00734094617,티웨이항공
20190227,4991,5068,4898,4993,342486,0.0107287449,티웨이항공
20190228,4985,5126,4804,4852,610090,-0.0282395353,티웨이항공
20190304,4950,5214,4927,5215,1201007,0.0748145095,티웨이항공
20190305,5209,5285,4920,5016,947207,-0.0381591563,티웨이항공
20190306,4927,4980,4745,4799,682336,-0.043261563,티웨이항공
20190307,4898,4904,4780,4864,413941,0.0135444884,티웨이항공
20190308,4851,5026,4821,5016,527140,0.03125,티웨이항공
20190311,5020,5026,4804,4846,345937,-0.033891547,티웨이항공
20190312,4839,4974,4757,4875,517254,0.00598431696,티웨이항공
20190313,4862,4862,4546,4664,1519291,-0.0432820513,티웨이항공
20190314,4628,4816,4523,4817,545936,0.0328044597,티웨이항공
20190315,4821,4880,4628,4870,448003,0.0110026988,티웨이항공
20190318,4980,5109,4869,4870,418297,0,티웨이항공
20190319,4869,4915,4716,4758,331454,-0.0229979466,티웨이항공
20190320,4769,4769,4616,4694,265394,-0.0134510298,티웨이항공
20190321,4692,4698,4610,4688,197314,-0.00127822752,티웨이항공
20190322,4634,4687,4581,4664,250923,-0.00511945392,티웨이항공
20190325,4628,4634,4452,4478,296834,-0.0398799314,티웨이항공
20190326,4511,4669,4494,4594,266040,0.0259044216,티웨이항공
20190327,4575,4681,4564,4606,154331,0.00261210274,티웨이항공
20190328,4605,4687,4464,4501,223121,-0.0227963526,티웨이항공
20190329,4511,4652,4459,4542,127984,0.00910908687,티웨이항공
20190401,4546,4610,4534,4594,133944,0.011448701,티웨이항공
20190402,4581,4581,4494,4530,215860,-0.0139312146,티웨이항공
20190403,4534,4540,4494,4513,141047,-0.00375275938,티웨이항공
20190404,4534,4616,4534,4594,244366,0.0179481498,티웨이항공
20190405,4599,4645,4564,4606,119512,0.00261210274,티웨이항공
20190408,4628,4634,4575,4612,144997,0.00130264872,티웨이항공
20190409,4623,4634,4540,4559,184057,-0.0114917606,티웨이항공
20190410,4534,4610,4499,4583,201670,0.00526431235,티웨이항공
20190411,4616,4933,4599,4635,891621,0.0113462797,티웨이항공
20190412,4658,4880,4616,4799,980565,0.0353829558,티웨이항공
20190415,4869,5203,4804,4923,3382388,0.0258387164,티웨이항공
20190416,4920,4956,4663,4688,851133,-0.0477351209,티웨이항공
20190417,4652,4658,4564,4618,534135,-0.0149317406,티웨이항공
20190418,4599,4599,4482,4501,510757,-0.0253356431,티웨이항공
20190419,4499,4610,4494,4547,258495,0.0102199511,티웨이항공
