date,계(명),국내발생(명),해외유입(명),사망(명),확진자증감율
20200120,1,,1,,1
20200121,0,,,,0
20200122,0,,,,0
20200123,0,,,,0
20200124,1,,1,,1
20200125,0,,,,0
20200126,1,,1,,1
20200127,1,,1,,1
20200128,0,,,,0
20200129,0,,,,0
20200130,3,1,2,,1
20200131,4,3,1,,1.333333333
20200201,1,,1,,0.25
20200202,3,1,2,,3
20200203,0,,,,0
20200204,1,,1,,1
20200205,5,3,2,,5
20200206,3,1,2,,0.6
20200207,0,,,,0
20200208,0,,,,0
20200209,3,1,2,,1
20200210,1,1,,,0.333333333
20200211,0,,,,0
20200212,0,,,,0
20200213,0,,,,0
20200214,0,,,,0
20200215,0,,,,0
20200216,2,2,,,1
20200217,0,,,,0
20200218,2,2,,,1
20200219,34,34,,,17
20200220,16,16,,1,0.470588235
20200221,74,74,,,4.625
20200222,190,190,,2,2.567567568
20200223,210,209,1,,1.105263158
20200224,207,206,1,4,0.985714286
20200225,130,129,1,1,0.628019324
20200226,253,252,1,3,1.946153846
20200227,449,447,2,1,1.774703557
20200228,427,427,,1,0.951002227
20200229,909,909,,3,2.128805621
20200301,595,593,2,1,0.654565457
20200302,686,684,2,6,1.152941176
20200303,600,599,1,5,0.874635569
20200304,516,516,,4,0.86
20200305,438,437,1,3,0.848837209
20200306,518,518,,7,1.182648402
20200307,483,483,,2,0.932432432
20200308,367,366,1,6,0.759834369
20200309,248,247,1,1,0.675749319
20200310,131,131,,3,0.528225806
20200311,242,239,3,6,1.847328244
20200312,114,112,2,6,0.47107438
20200313,110,107,3,1,0.964912281
20200314,107,102,5,5,0.972727273
20200315,76,72,4,3,0.710280374
20200316,74,70,4,,0.973684211
20200317,84,79,5,6,1.135135135
20200318,93,80,13,3,1.107142857
20200319,152,135,17,7,1.634408602
20200320,87,73,14,3,0.572368421
20200321,147,126,21,8,1.689655172
20200322,98,77,21,2,0.666666667
20200323,64,46,18,7,0.653061224
20200324,76,46,30,9,1.1875
20200325,100,42,58,6,1.315789474
20200326,104,56,48,5,1.04
20200327,91,57,34,8,0.875
20200328,146,90,56,5,1.604395604
20200329,105,38,67,8,0.719178082
20200330,78,35,43,6,0.742857143
20200331,125,88,37,4,1.602564103
20200401,101,56,45,3,0.808
20200402,89,43,46,4,0.881188119
20200403,86,37,49,5,0.966292135
20200404,94,53,41,3,1.093023256
20200405,81,31,50,6,0.861702128
20200406,47,25,22,3,0.580246914
20200407,47,23,24,6,1
20200408,53,23,30,8,1.127659574
20200409,39,13,26,4,0.735849057
20200410,27,17,10,4,0.692307692
20200411,30,16,14,3,1.111111111
20200412,32,9,23,3,1.066666667
20200413,25,10,15,3,0.78125
20200414,27,11,16,5,1.08
20200415,27,13,14,3,1
20200416,22,11,11,4,0.814814815
20200417,22,7,15,1,1
20200418,18,9,9,2,0.818181818
20200419,8,2,6,2,0.444444444
20200420,13,6,7,2,1.625
20200421,9,4,5,1,0.692307692
20200422,11,5,6,1,1.222222222
20200423,8,4,4,2,0.727272727
20200424,6,4,2,,0.75
20200425,10,5,5,,1.666666667
20200426,10,1,9,2,1
20200427,10,3,7,1,1
20200428,14,2,12,1,1.4
20200429,9,4,5,2,0.642857143
20200430,4,,4,1,0.444444444
20200501,9,1,8,1,2.25
20200502,6,,6,2,0.666666667
20200503,13,3,10,,2.166666667
20200504,8,,8,2,0.615384615
20200505,3,,3,2,0.375
20200506,2,,2,1,0.666666667
20200507,4,1,3,1,2
20200508,12,1,11,,3
20200509,18,17,1,,1.5
20200510,34,26,8,,1.888888889
20200511,35,29,6,,1.029411765
20200512,27,22,5,2,0.771428571
20200513,26,22,4,1,0.962962963
20200514,29,26,3,1,1.115384615
20200515,27,22,5,,0.931034483
20200516,19,9,10,2,0.703703704
20200517,13,6,7,,0.684210526
20200518,15,5,10,1,1.153846154
20200519,13,9,4,,0.866666667
20200520,32,24,8,,2.461538462
20200521,12,10,2,1,0.375
20200522,20,11,9,,1.666666667
20200523,23,19,4,2,1.15
20200524,25,17,8,,1.086956522
20200525,16,13,3,1,0.64
20200526,19,16,3,2,1.1875
20200527,40,37,3,,2.105263158
20200528,79,68,11,,1.975
20200529,58,55,3,,0.734177215
20200530,39,27,12,,0.672413793
20200531,27,15,12,1,0.692307692
20200601,35,30,5,1,1.296296296
20200602,38,36,2,1,1.085714286
20200603,49,46,3,1,1.289473684
20200604,39,33,6,,0.795918367
20200605,39,34,5,,1
20200606,51,43,8,,1.307692308
20200607,57,53,4,,1.117647059
20200608,37,32,5,,0.649122807
20200609,38,35,3,1,1.027027027
20200610,50,43,7,2,1.315789474
20200611,45,40,5,,0.9
20200612,56,43,13,1,1.244444444
20200613,48,43,5,,0.857142857
20200614,34,31,3,,0.708333333
20200615,37,24,13,,1.088235294
20200616,34,21,13,1,0.918918919
20200617,43,31,12,1,1.264705882
20200618,59,51,8,1,1.372093023
20200619,49,32,17,,0.830508475
20200620,67,36,31,,1.367346939
20200621,48,40,8,,0.71641791
20200622,17,11,6,,0.354166667
20200623,46,16,30,1,2.705882353
20200624,51,30,21,,1.108695652
20200625,28,23,5,1,0.549019608
20200626,39,26,13,,1.392857143
20200627,51,31,20,,1.307692308
20200628,62,40,22,,1.215686275
20200629,42,30,12,,0.677419355
20200630,42,22,20,,1
20200701,51,36,15,,1.214285714
20200702,54,44,10,,1.058823529
20200703,61,49,12,,1.12962963
20200704,63,36,27,1,1.032786885
20200705,61,43,18,,0.968253968
20200706,48,24,24,1,0.786885246
