date,airline_nm,season,season_type,domestic_or_international
20190101,대한항공,1,성수기,국내선
20190102,대한항공,0,비수기,국내선
20190103,대한항공,0,비수기,국내선
20190104,대한항공,0,비수기,국내선
20190105,대한항공,0,비수기,국내선
20190106,대한항공,0,비수기,국내선
20190107,대한항공,0,비수기,국내선
20190108,대한항공,0,비수기,국내선
20190109,대한항공,0,비수기,국내선
20190110,대한항공,0,비수기,국내선
20190111,대한항공,0,비수기,국내선
20190112,대한항공,0,비수기,국내선
20190113,대한항공,0,비수기,국내선
20190114,대한항공,0,비수기,국내선
20190115,대한항공,0,비수기,국내선
20190116,대한항공,0,비수기,국내선
20190117,대한항공,0,비수기,국내선
20190118,대한항공,0,비수기,국내선
20190119,대한항공,0,비수기,국내선
20190120,대한항공,0,비수기,국내선
20190121,대한항공,0,비수기,국내선
20190122,대한항공,0,비수기,국내선
20190123,대한항공,0,비수기,국내선
20190124,대한항공,0,비수기,국내선
20190125,대한항공,0,비수기,국내선
20190126,대한항공,0,비수기,국내선
20190127,대한항공,0,비수기,국내선
20190128,대한항공,0,비수기,국내선
20190129,대한항공,0,비수기,국내선
20190130,대한항공,0,비수기,국내선
20190131,대한항공,0,비수기,국내선
20190201,대한항공,0,비수기,국내선
20190202,대한항공,1,성수기,국내선
20190203,대한항공,1,성수기,국내선
20190204,대한항공,1,성수기,국내선
20190205,대한항공,1,성수기,국내선
20190206,대한항공,1,성수기,국내선
20190207,대한항공,1,성수기,국내선
20190208,대한항공,0,비수기,국내선
20190209,대한항공,0,비수기,국내선
20190210,대한항공,0,비수기,국내선
20190211,대한항공,0,비수기,국내선
20190212,대한항공,0,비수기,국내선
20190213,대한항공,0,비수기,국내선
20190214,대한항공,0,비수기,국내선
20190215,대한항공,0,비수기,국내선
20190216,대한항공,0,비수기,국내선
20190217,대한항공,0,비수기,국내선
20190218,대한항공,0,비수기,국내선
20190219,대한항공,0,비수기,국내선
20190220,대한항공,0,비수기,국내선
20190221,대한항공,0,비수기,국내선
20190222,대한항공,0,비수기,국내선
20190223,대한항공,1,성수기,국내선
20190224,대한항공,1,성수기,국내선
20190225,대한항공,1,성수기,국내선
20190226,대한항공,1,성수기,국내선
20190227,대한항공,1,성수기,국내선
20190228,대한항공,1,성수기,국내선
20190301,대한항공,1,성수기,국내선
20190302,대한항공,1,성수기,국내선
20190303,대한항공,0,비수기,국내선
20190304,대한항공,0,비수기,국내선
20190305,대한항공,0,비수기,국내선
20190306,대한항공,0,비수기,국내선
20190307,대한항공,0,비수기,국내선
20190308,대한항공,0,비수기,국내선
20190309,대한항공,0,비수기,국내선
20190310,대한항공,0,비수기,국내선
20190311,대한항공,0,비수기,국내선
20190312,대한항공,0,비수기,국내선
20190313,대한항공,0,비수기,국내선
20190314,대한항공,0,비수기,국내선
20190315,대한항공,0,비수기,국내선
20190316,대한항공,0,비수기,국내선
20190317,대한항공,0,비수기,국내선
20190318,대한항공,0,비수기,국내선
20190319,대한항공,0,비수기,국내선
20190320,대한항공,0,비수기,국내선
20190321,대한항공,0,비수기,국내선
20190322,대한항공,0,비수기,국내선
20190323,대한항공,0,비수기,국내선
20190324,대한항공,0,비수기,국내선
20190325,대한항공,0,비수기,국내선
20190326,대한항공,0,비수기,국내선
20190327,대한항공,0,비수기,국내선
20190328,대한항공,0,비수기,국내선
20190329,대한항공,0,비수기,국내선
20190330,대한항공,0,비수기,국내선
20190331,대한항공,0,비수기,국내선
20190401,대한항공,0,비수기,국내선
20190402,대한항공,0,비수기,국내선
20190403,대한항공,0,비수기,국내선
20190404,대한항공,0,비수기,국내선
20190405,대한항공,0,비수기,국내선
