통계분류(1),통계분류(2),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
전체,소계,23789,41779,10612,16043,7700,14484,6541,2358,54612,87796,19749,41618,29163,52273,50035,53874,45440
성별,남자,12299,21048,5866,7982,4378,7097,3452,1395,28930,45903,10465,20534,14349,26601,25073,28012,22159
성별,여자,11490,20731,4746,8062,3322,7387,3090,964,25682,41893,9283,21084,14813,25672,24962,25862,23281
연령,15~19세,2315,2471,612,310,325,819,287,59,4143,3293,675,1442,1162,1942,2142,1519,2485
연령,20대,5504,8636,1770,2970,942,1533,1278,151,9768,16762,1870,5828,4740,7188,6104,6042,8172
연령,30대,4752,9376,2392,2112,1489,3000,1199,617,11658,18585,2866,6551,4534,9085,8525,8776,9132
연령,40대,4418,9256,1766,3045,1418,3494,1808,537,9656,20863,4193,10131,5989,12699,14455,12399,10329
연령,50대,3160,7132,2220,4026,1956,2871,893,362,8630,16275,5350,8950,6982,10187,10408,12813,7902
연령,60대,2238,3080,1505,2214,837,1815,470,500,6402,7543,3181,5381,3654,7369,4869,7584,4429
연령,70세 이상,1401,1827,347,1366,732,951,605,132,4356,4475,1613,3335,2101,3803,3532,4741,2992
직업,임금봉급근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,고용원있는사업주,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,고용원없는자영업자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,무급가족 종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직업,사무전문,7045,13201,2465,4563,1535,4537,1406,874,17059,28074,4385,10412,7258,13178,9985,11932,15168
직업,기술생산노무,2110,2714,729,1297,1049,1097,782,294,4016,6083,2036,4912,2607,5467,4956,7055,3518
직업,판매서비스,2639,6757,1746,3039,955,1732,932,340,7568,13423,2829,5908,4896,7349,9585,6788,6104
직업,자영업,2566,5431,1991,2392,1531,2505,933,328,7261,14921,4145,7827,4478,10358,9719,10652,7079
직업,전업주부,2720,5914,1557,2829,1444,2987,1171,352,8418,12655,3676,7806,5210,8061,7566,9620,6511
직업,학생,4343,5174,1160,775,628,1132,948,103,6702,7952,1125,2416,2731,5029,4386,3230,4532
직업,무직은퇴,1570,2093,595,1091,330,358,354,68,3114,3687,1385,1772,1492,1652,3076,3271,2108
직업,기타,795,494,369,56,229,137,14,-,475,1002,169,565,491,1180,762,1326,421
학력,초졸 이하,670,234,267,165,353,329,148,70,1105,442,317,803,1022,1411,887,1425,497
학력,중학교,1628,2037,650,783,376,788,477,141,3712,2565,1298,2660,1532,3020,2548,3700,2585
학력,고등학교,6935,13626,4231,7028,3276,5956,2258,857,19037,31758,9277,17582,11302,20657,21591,22165,13997
학력,대학교이상,14556,25882,5465,8067,3695,7411,3658,1291,30758,53031,8857,20573,15306,27186,25010,26584,28361
가구원수,1인,3277,5289,1781,1397,650,1813,1192,443,6702,9446,2977,3966,3421,6141,6082,7367,6137
가구원수,2인,4145,6469,2200,4221,1996,2775,1117,696,10786,16691,4501,8632,6063,12581,9935,11507,9476
가구원수,3인이상,16366,30021,6631,10425,5053,9897,4232,1220,37123,61659,12271,29020,19678,33551,34017,35001,29828
가구소득,100만원 미만,669,305,270,191,285,245,84,-,492,555,199,470,608,973,910,918,342
가구소득,100~200만원 미만,1459,1408,434,773,529,572,475,274,3523,2569,1371,2434,2220,3133,2690,3219,1654
가구소득,200~300만원 미만,3163,4193,1395,2199,1061,1705,953,438,7726,9863,3053,5638,3766,6650,6604,6685,4904
가구소득,300~400만원 미만,3511,7834,2001,2781,1620,3060,1312,579,10536,16819,4533,8555,5258,10698,7288,10357,8677
가구소득,400~500만원 미만,4531,10682,2790,3670,1743,4130,1648,481,11086,17815,3861,8730,6787,11192,9565,11143,9293
가구소득,500~600만원 미만,6741,8090,2240,3076,1329,2603,1113,292,12446,21404,3684,10009,6032,11039,10543,10906,9724
가구소득,600만원 이상,3552,8981,1448,3352,1102,2147,956,295,8419,18204,2905,5685,4345,8435,12308,10143,10565
가구소득,무응답,163,285,35,-,31,23,-,-,384,567,143,97,147,154,127,503,281
