,,야영,,호텔,,모텔/여관,,펜션,,콘도미니엄/리조트,,유스호스텔,,연수원/수련원,,전통한옥숙박시설,,게스트하우스,,민박(도시형/농촌형),자연휴양림내숙박시설,,가족/친지집,,무박여행,,기타,,민박
구분1,구분2,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2018,2019,2018,2019,2018,2019,2018,2019,2019
가구소득,100만원미만,2.87,0.58,5.81,9.5,14.73,9.13,31.04,21.43,19.58,11.75,0,0.31,0,1.93,1.22,0.62,0.85,2.64,2.02,2.81,0.54,17.78,39.4,1.3,0.24,0,1.65,1.7
가구소득,100~200만원미만,0.51,3.01,9.73,7.97,7.25,8.94,29.1,28.62,17.29,10.63,0.21,0.81,0,0.59,5.25,2.1,0.8,0.48,5.74,1.69,2.6,21.49,27.96,1.14,1.28,0.83,1.43,4.26
가구소득,200~300만원미만,2.61,2.76,8.99,9.69,12.53,13.07,32.72,30.9,12.82,11.3,1.08,2,0.68,0.65,3.19,1.42,2.64,1.45,4.43,3.54,2.36,14.57,20.55,1.98,0.51,0.31,1.06,2.79
가구소득,300~400만원미만,1.93,2.58,10.25,11.98,11.54,9.25,34.64,30.31,15.57,12.48,1.02,1.55,0.35,1.22,0.54,1.25,2.54,2.32,4.79,2.66,2.09,14.91,19.15,0.77,1.29,0.62,1.28,4.14
가구소득,400~500만원미만,2.78,2.73,11.91,10.07,9.83,9.51,33.07,30.33,17.53,15.33,0.53,1.31,0.7,1.02,1.66,1.51,2.75,2.92,4.22,2.77,2.14,11.84,17.46,1.68,0.82,0.7,1.4,4.34
가구소득,500~600만원미만,2.19,3.1,10.1,10.13,11.59,9.11,34.52,33.56,15.4,14.62,1.33,1.36,0.53,1.28,2.33,1.6,2.37,2.74,4.23,3.68,2.61,10.88,15.8,1.52,0.79,1.2,1.02,3.49
가구소득,600만원이상,4.07,3.2,11.88,12.86,11.52,10.8,34.07,32.65,16.55,18.22,1.3,1.83,1.26,1,1.63,1.22,2.84,2.08,6.63,2.66,2.85,12.49,11.01,0.71,0.64,0.48,0.76,2.92
가구소득,무응답,0,0,14.32,0,2.96,0,41.17,0,20.25,0,0,0,0,0,2.73,0,5.58,0,4.88,0,0,10.96,0,0,0,0,0,0
가구소득,전체,2.62,2.81,10.72,10.77,11.09,9.99,33.71,31.08,15.97,14.29,1,1.48,0.67,1.06,1.94,1.42,2.55,2.3,4.89,2.96,2.35,13.09,17.93,1.28,0.85,0.7,1.16,3.62
