.model_nm,.product_nm,.photo_url,.vr_url,.geom,.addrs,.biz_tel
heart keeper,나눔테크,,,POINT(129.1425603 35.161159),"부산광역시 해운대구 해운대해변로 99  (우동, 경남마리나아파트) 106동 경비실",[Record]
HR-,라디안,,,POINT(129.1426349 35.16182813),부산광역시 해운대구 해운대해변로 85 경비실 내,051-746-9527
I-PAD NFK200,(주)씨유메디칼시스템,,,POINT(129.1399468 35.16058522),부산광역시 해운대구 해운대해변로 84 요트경기장 4초소,7402280
I-PAD NFK200,(주)씨유메디칼시스템,,,POINT(129.1399468 35.16058522),부산광역시 해운대구 해운대해변로 84 본관 입구,7402280
herton A15-G4,메디아나,,,POINT(129.1648485 35.1616313),부산광역시 해운대구 해운대해변로 314 페어필드 바이메리어트 부산 (중동) 호텔1층 로비,051-749-7777
HR-501-B,라디안,,,POINT(129.1489849 35.15977274),"부산광역시 해운대구 해운대해변로 141  (우동, 대우마리나2차아파트) 관리사무소 입구",051-742-2941
Heart Saver-A,(주)나눔테크,,,POINT(129.1443046 35.16139126),부산광역시 해운대구 해운대해변로 115 관리사무소 대우마리나3차아파트 관리사무소내,051-742-1159
HeartGuardian HR-501,(주)라디안,,,POINT(129.1178527 35.18941028),부산광역시 해운대구 해운대로76번길 55 관리사무실 입구 우측 벽면,051-783-0421
heart keeper,나눔테크,,,POINT(129.1159259 35.19147336),"부산광역시 해운대구 해운대로76번길 40  (재송동, 센텀계룡리슈빌) 경비실",051-784-3830
P-303,라디안,,,POINT(129.1193727 35.19086111),"부산광역시 해운대구 해운대로76번길 12, 재송동병원 (재송동) 구급차 내",784-7297
